"pop","Cntrl_values","X","values","conc","experiment","viability","mean_value","viability_res"
"C6",0.708,124,0.708,0,"EXP_2",100,100,100
"C6",0.708,134,0.676,4,"EXP_2",95.4802259887006,99.5383195443757,92.5925925925927
"C6",0.708,144,0.788,25.6,"EXP_2",92.5054484259347,92.5054484259347,87.7172626980597
"C6",0.708,154,0.667,160,"EXP_2",94.2090395480226,54.4923030545079,90.5092592592593
"C6",0.708,164,0.276,400,"EXP_2",38.9830508474576,32.654129740229,0
"C6",0.708,174,0.373,1000,"EXP_2",52.683615819209,40.4606103967734,22.4537037037037
"C7",0.435,123,0.435,0,"EXP_2",100,100,79.5055488935165
"C7",0.435,133,0.508,4,"EXP_2",109.659111925796,109.659111925796,100
"C7",0.435,143,0.55,25.6,"EXP_2",100.395249714826,100.395249714826,80.344179402986
"C7",0.435,153,0.522,160,"EXP_2",63.5224735816521,63.5224735816521,2.10848719576823
"C7",0.435,163,0.272,400,"EXP_2",62.5287356321839,43.1907428413261,0
"C7",0.435,173,0.391,1000,"EXP_2",89.8850574712644,55.852634209666,58.0439283333036
"C44",0.718,125,0.718,0,"EXP_2",100,100,100
"C44",0.718,135,0.657,4,"EXP_2",91.5041782729805,103.639971902657,86.5934065934066
"C44",0.718,145,0.683,25.6,"EXP_2",95.1253481894151,86.2375950695492,92.3076923076924
"C44",0.718,155,0.606,160,"EXP_2",84.4011142061281,55.109878756691,75.3846153846153
"C44",0.718,165,0.263,400,"EXP_2",36.6295264623955,36.2365142696512,0
"C44",0.718,175,0.301,1000,"EXP_2",41.9220055710306,42.5182305529804,8.35164835164835
"C58",0.648,126,0.648,0,"EXP_2",100,100,97.071372220992
"C58",0.648,136,0.628,4,"EXP_2",96.9135802469136,100.985033256516,89.4279570854808
"C58",0.648,146,0.709,25.6,"EXP_2",101.182583238816,101.182583238816,100
"C58",0.648,156,0.727,160,"EXP_2",65.9231505977377,65.9231505977377,12.681196117653
"C58",0.648,166,0.394,400,"EXP_2",60.8024691358025,44.0219223928168,0
"C58",0.648,176,0.405,1000,"EXP_2",62.5,48.7156212285475,4.20387832453108
"C67",0.488,127,0.488,0,"EXP_2",100,100,77.7985057212655
"C67",0.488,137,0.479,4,"EXP_2",98.155737704918,108.390999610193,74.2261253565135
"C67",0.488,147,0.63,25.6,"EXP_2",111.461651507423,111.461651507423,100
"C67",0.488,157,0.576,160,"EXP_2",67.902088609908,67.902088609908,15.6240803668625
"C67",0.488,167,0.388,400,"EXP_2",79.5081967213115,50.9993393919095,38.1053905573546
"C67",0.488,177,0.292,1000,"EXP_2",59.8360655737705,52.8910132117775,0
"C73",0.616,128,0.616,0,"EXP_2",100,100,84.9765337421459
"C73",0.616,138,0.615,4,"EXP_2",99.8376623376623,97.1033929073668,84.5920245396927
"C73",0.616,148,0.712,25.6,"EXP_2",106.342824507057,106.342824507057,100
"C73",0.616,158,0.659,160,"EXP_2",65.624145289373,65.624145289373,3.55468567502635
"C73",0.616,168,0.408,400,"EXP_2",66.2337662337662,43.6430796115441,4.99861963189092
"C73",0.616,178,0.395,1000,"EXP_2",64.1233766233766,45.6317834061689,0
"C85",0.748,129,0.748,0,"EXP_2",100,100,76.6722632739286
"C85",0.748,139,0.821,4,"EXP_2",113.341558591356,113.341558591356,100
"C85",0.748,149,0.936,25.6,"EXP_2",108.06130619974,108.06130619974,90.7674701725904
"C85",0.748,159,0.763,160,"EXP_2",72.5028549060551,72.5028549060551,28.5934607054097
"C85",0.748,169,0.435,400,"EXP_2",58.1550802139037,54.177363690308,3.50635350338074
"C85",0.748,179,0.42,1000,"EXP_2",56.1497326203209,59.0986712461663,0
"C89",0.506,130,0.506,0,"EXP_2",100,100,81.0501341086547
"C89",0.506,140,0.586,4,"EXP_2",110.350227708223,110.350227708223,100
"C89",0.506,150,0.683,25.6,"EXP_2",109.774028165434,109.774028165434,98.9450566335047
"C89",0.506,160,0.654,160,"EXP_2",67.1415157680235,67.1415157680235,20.8906973173128
"C89",0.506,170,0.369,400,"EXP_2",72.9249011857708,53.9429701364227,31.4792931582722
"C89",0.506,180,0.282,1000,"EXP_2",55.7312252964427,61.3212238446092,0
"GSH1",0.277,182,0.277,0,"EXP_3",100,100,54.1768487562819
"GSH1",0.277,192,0.312,4,"EXP_3",107.160433403251,107.160433403251,63.0320647448593
"GSH1",0.277,202,0.608,25.6,"EXP_3",137.053147346263,137.053147346263,100
"GSH1",0.277,212,0.452,160,"EXP_3",83.5889327853766,83.5889327853766,33.8814927904585
"GSH1",0.277,222,0.258,400,"EXP_3",93.1407942238267,46.0638512760718,45.6941571037717
"GSH1",0.277,232,0.323,1000,"EXP_3",56.1919530796583,56.1919530796583,0
"REF",0.275,181,0.275,0,"EXP_3",100,100,58.3554208010449
"REF",0.275,191,0.571,4,"EXP_3",130.451166815056,130.451166815056,94.307334070836
"REF",0.275,201,0.607,25.6,"EXP_3",135.272838433212,135.272838433212,100
"REF",0.275,211,0.499,160,"EXP_3",86.5048392886887,86.5048392886887,42.4224731277535
"REF",0.275,221,0.267,400,"EXP_3",97.0909090909091,43.1963141997652,54.9208271550023
"REF",0.275,231,0.316,1000,"EXP_3",50.5731269420774,50.5731269420774,0
"C6",0.444,184,0.444,0,"EXP_3",100,100,100
"C6",0.444,194,0.523,4,"EXP_3",99.5383195443757,99.5383195443757,98.9323639463688
"C6",0.444,204,0.592,25.6,"EXP_3",92.5054484259347,92.5054484259347,82.668849484974
"C6",0.444,214,0.28,160,"EXP_3",63.0630630630631,54.4923030545079,14.5833333333333
